collection,floorPrice,numOwners,totalSupply,oneDayTotalVolume,oneDayChange,oneDaySecondaryVolume,oneDaySecondaryChange,sevenDayTotalVolume,sevenDayChange,sevenDaySecondaryVolume,sevenDaySecondaryChange,thirtyDayTotalVolume,thirtyDayChange,thirtyDaySecondaryVolume,thirtyDaySecondaryChange,totalVolume,avgSalePrice,totalPrimaryVolume,totalSecondaryVolume,oneDayNumSecondarySales,oneDayNumSecondarySalesChange,oneDayNumTotalSales,oneDayNumTotalSalesChange,sevenDayNumSecondarySales,sevenDayNumSecondarySalesChange,sevenDayNumTotalSales,sevenDayNumTotalSalesChange,thirtyDayNumSecondarySales,thirtyDayNumSecondarySalesChange,thirtyDayNumTotalSales,thirtyDayNumTotalSalesChange,totalNumTotalSales,totalNumSecondarySales,totalNumPrimarySales,totalMarketCap
"{'niftyTitle': 'yellen saves the economy', 'niftyType': 47, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722989/Patrick/dwtml/yellen_saves_the_economy.jpg', 'staticThumbnailUrl': ''}",14500.00,8,9,0.00,0.00,0.00,0.00,111477.00,,48756.00,,111477.00,,48756.00,,111477.00,12189.00,62721,48756,0,0.00,0,0.00,4,,13,,4,,13,,13,4,9,130500
"{'niftyTitle': 'landscape climax', 'niftyType': 33, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722992/Patrick/dwtml/landscape_climax.jpg', 'staticThumbnailUrl': ''}",28000.00,9,9,0.00,0.00,0.00,0.00,111221.00,,48500.00,,111221.00,,48500.00,,111221.00,16166.67,62721,48500,0,0.00,0,0.00,3,,12,,3,,12,,12,3,9,252000
"{'niftyTitle': 'Brain Cloud', 'niftyType': 2, 'niftyContractAddress': '0x825f824f0149d53cb55c136574ab6c52505429d6', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/image/upload/v1639769800/AMatthew/SkygolpeDec21/Brain-Cloud_wldxhv.jpg', 'staticThumbnailUrl': ''}",2500000.00,10,10,0.00,0.00,0.00,0.00,110000.00,0.00,110000.00,0.00,110000.00,0.00,110000.00,0.00,15079900.00,289950.00,14500000,579900,0,0.00,0,0.00,1,0.0,1,0.0,1,0.0,1,0.0,12,2,10,25000000
"{'niftyTitle': 'goodnight moon', 'niftyType': 2, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722988/Patrick/dwtml/goodnight_moon.jpg', 'staticThumbnailUrl': ''}",0.00,3,3,0.00,0.00,0.00,0.00,108407.00,,87500.00,,108407.00,,87500.00,,108407.00,29166.67,20907,87500,0,0.00,0,0.00,3,,6,,3,,6,,6,3,3,0
"{'niftyTitle': 'meat captainz', 'niftyType': 34, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722986/Patrick/dwtml/meat_captainz.jpg', 'staticThumbnailUrl': ''}",8500.00,9,9,0.00,-100.00,0.00,-100.00,107621.00,,44900.00,,107621.00,,44900.00,,107621.00,11225.00,62721,44900,0,-100.00,0,-100.00,4,,13,,4,,13,,13,4,9,76500
"{'niftyTitle': 'nakameatgo sixty nine', 'niftyType': 37, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722991/Patrick/dwtml/nakameatgo_sixty_nine.jpg', 'staticThumbnailUrl': ''}",29900.00,9,9,0.00,0.00,0.00,0.00,106721.00,,44000.00,,106721.00,,44000.00,,106721.00,11000.00,62721,44000,0,0.00,0,0.00,4,,13,,4,,13,,13,4,9,269100
"{'niftyTitle': 'last gn', 'niftyType': 14, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722988/Patrick/dwtml/last_gn.jpg', 'staticThumbnailUrl': ''}",0.00,6,6,0.00,0.00,0.00,0.00,105314.00,,63500.00,,105314.00,,63500.00,,105314.00,15875.00,41814,63500,0,0.00,0,0.00,4,,10,,4,,10,,10,4,6,0
"{'niftyTitle': 'asszuki number two', 'niftyType': 7, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722984/Patrick/dwtml/asszuki_number_two.jpg', 'staticThumbnailUrl': ''}",24900.00,6,6,0.00,0.00,0.00,0.00,103814.00,,62000.00,,103814.00,,62000.00,,103814.00,31000.00,41814,62000,0,0.00,0,0.00,2,,8,,2,,8,,8,2,6,149400
"{'niftyTitle': 'The Starbucks® Green Apron Stamp', 'niftyType': 1, 'niftyContractAddress': '0x881619b97753c8f3023187b3b2a07c36b84fb009', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1689236621/SBUX_green-apron_paid3_20230801/Placeholder.png', 'staticThumbnailUrl': ''}",8199.00,2071,3357,0.00,0.00,0.00,0.00,100329.00,-8.15,100329.00,-8.15,685792.00,-15.76,685792.00,-15.76,41507842.00,16166.68,33570000,7937842,0,0.00,0,0.00,11,-8.0,11,-8.0,61,-10.0,61,-10.0,3848,491,3357,27524043
"{'niftyTitle': 'FEWO SHOE LEGENDARY', 'niftyType': 1, 'niftyContractAddress': '0x2250d7c238392f4b575bb26c672afe45f0adcb75', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1614208513/Ashley/benrtfkt/FEWO_SHOE_LEGENDARY_-_Benoit_Pagotto_yrwqqc.mp4', 'staticThumbnailUrl': ''}",9900000.00,82,121,0.00,-100.00,0.00,-100.00,100000.00,0.00,100000.00,0.00,100000.00,0.00,100000.00,0.00,179262004.00,1266565.30,121000000,58262004,0,-100.00,0,-100.00,1,0.0,1,0.0,1,0.0,1,0.0,167,46,121,1197900000
