thirty days,Volume,No of  Sales,Average Floor Price,Owners
Primitivo #1 - Caramel,10.987602322046623,12,1507.4990385847968,10
Leonardo Glauso. Photography 5 III,10.987602322046623,15,10.377179970821812,11
New Campaign Poster,10.976614719724576,18,6.104223512248124,18
Pertwee,10.864907429450437,176,0.1709182583429475,47
Chaos,10.682391146434217,1,16.481403483069936,87
PAR,10.682391146434217,1,10.682391146434217,262
Chapter 7: Candle,10.682391146434217,2,12.086362554251286,1536
Take Profit,10.560306676189255,16,22.52458476019558,7
The Whiskey,10.438222205944292,1,0.0,1
Red Bull Doodle Art Collection mentored by Burnt Toast,10.355815188528943,40,0.24294809578747534,1161
AUTHORITARIANISM,10.31613773569933,4,4.211914223451206,83
The Blockchain Experience: Ed Balloon,10.31613773569933,165,0.5799012336635718,20
Gaze II,10.31613773569933,1,54.20550478876334,47
Chapter V: Glitch,10.194053265454368,2,14.039714078170686,1472
Popenstein,10.071968795209406,11,732.4457792346525,7
Aku Chapter IV: Aku x Ady,10.071968795209406,1,24.355851813870014,698
So It Goes,10.071968795209406,1,25.63773875144212,40
Orygeia,9.766757619597,1,25.02731640021731,71
Orygeia,9.766757619597,1,25.02731640021731,71
Muga x Bryan Brinkman,9.705715384474518,2,7.325068214697749,87
NOOBPUNKS,9.68679229158655,14,0.84604537879759,617
The Most Valuable Artwork,9.490236294492158,65,0.15809938896722642,2039
Space Station,9.485963338033585,20,0.0,9
"Block 8 (50.000323° N, 8.272614° E)",9.461546443984593,1,48.65066139261755,18
Needle Epic,9.22409214935814,1,18.312670536744374,25
TIMELESS,9.156335268372187,1,18.251628301621892,70
Marble Death,9.156335268372187,1,6.104223512248124,15
Alexey Pertsev - NF Freedom Fighters,9.156335268372187,1,7.325068214697749,3
GREY,9.156335268372187,15,0.0,9
256 Quantic Utopia,9.156335268372187,15,36.56429883836626,12
SHIBUYA,9.156335268372187,3,0.0,4
Magic Kitchen,9.156335268372187,10,0.0,8
Moco NFT,9.156335268372187,1,14.344925253783092,310
Hollywood,9.156335268372187,1,167.86614658682342,9
🟠🟧🔵🟦 by Brand,9.156335268372187,1,183.12670536744372,23
Needle Classic,9.095293033249705,1,27.10275239438167,37
The Alchemist,9.095293033249705,4,0.0,5
THE COLLECTOR,8.973208563004743,3,671464.5863472937,3
Virtual Kiss,8.790081857637299,48,0.9095293033249705,25
The Minotaur,8.606955152269855,1,8.240701741534968,183
Killer Sport,8.484870682024892,1,18.251628301621892,44
ORIGINAL RENÉ MÄKELÄ'S SKULL (A6),8.36278621177993,2,4.272956458573687,14
Code Epic,8.342031851838287,1,17.64120595039708,33
